2011-06-19 20:10:35 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 8]
2011-06-19 20:13:26 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:13:31 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:13:54 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:15:14 Notice: Notice (8): Undefined index:  Product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:15:21 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:15:40 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:15:40 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 5]
2011-06-19 20:16:01 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:16:01 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:16:24 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:16:24 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:16:30 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:16:30 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:17:35 Notice: Notice (8): Undefined variable: product in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 4]
2011-06-19 20:17:35 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 16]
2011-06-19 20:17:35 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 17]
2011-06-19 20:17:42 Notice: Notice (8): Undefined index:  parts_number in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 16]
2011-06-19 20:17:42 Notice: Notice (8): Undefined index:  name in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 17]
2011-06-19 20:18:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 16]
2011-06-19 20:18:01 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 17]
2011-06-19 20:18:23 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:18:23 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:18:59 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
2011-06-19 20:18:59 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 11]
2011-06-19 20:19:02 Notice: Notice (8): Uninitialized string offset: 0 in [/Applications/MAMP/htdocs/smscanada/www/app/views/products/showlist.ctp, line 10]
